experiment,experiment_label,system,system_label,count,accuracy,false_positive_rate,false_negative_rate,rejection_rate,acceptance_rate,unsafe_acceptance_rate,source_metric_file,source_metric_key
test_disagreement,Specialist disagreement,mean_ensemble,Mean ensemble,90,0.7111111111111111,0.36585365853658536,0.22448979591836735,0.4111111111111111,0.5888888888888889,0.16666666666666666,results/metrics/test_disagreement.json,classification_by_system.mean_ensemble
test_disagreement,Specialist disagreement,static_weighted_ensemble,Static weighted ensemble,90,0.8333333333333334,0.24390243902439024,0.10204081632653061,0.4,0.6,0.1111111111111111,results/metrics/test_disagreement.json,classification_by_system.static_weighted_ensemble
test_disagreement,Specialist disagreement,veto_mavs,Veto MAVS,90,0.4777777777777778,0.0975609756097561,0.8775510204081632,0.8888888888888888,0.11111111111111116,0.044444444444444446,results/metrics/test_disagreement.json,classification_by_system.veto_mavs
test_disagreement,Specialist disagreement,pure_mavs_gc,Pure MAVS-GC,90,0.4666666666666667,0.0,0.9795918367346939,0.9888888888888889,0.011111111111111072,0.0,results/metrics/test_disagreement.json,classification_by_system.pure_mavs_gc
test_false_positive_trap,False positive trap,mean_ensemble,Mean ensemble,120,0.0,1.0,0.0,0.0,1.0,1.0,results/metrics/test_false_positive_trap.json,classification_by_system.mean_ensemble
test_false_positive_trap,False positive trap,static_weighted_ensemble,Static weighted ensemble,120,0.15,0.85,0.0,0.15,0.85,0.85,results/metrics/test_false_positive_trap.json,classification_by_system.static_weighted_ensemble
test_false_positive_trap,False positive trap,veto_mavs,Veto MAVS,120,1.0,0.0,0.0,1.0,0.0,0.0,results/metrics/test_false_positive_trap.json,classification_by_system.veto_mavs
test_false_positive_trap,False positive trap,pure_mavs_gc,Pure MAVS-GC,120,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666663,0.16666666666666666,results/metrics/test_false_positive_trap.json,classification_by_system.pure_mavs_gc
test_mitigation_veto,Mitigation versus hard veto,mean_ensemble,Mean ensemble,100,0.68,0.0,0.32,0.32,0.6799999999999999,0.0,results/metrics/test_mitigation_veto.json,classification_by_system.mean_ensemble
test_mitigation_veto,Mitigation versus hard veto,static_weighted_ensemble,Static weighted ensemble,100,0.82,0.0,0.18,0.18,0.8200000000000001,0.0,results/metrics/test_mitigation_veto.json,classification_by_system.static_weighted_ensemble
test_mitigation_veto,Mitigation versus hard veto,veto_mavs,Veto MAVS,100,0.1,0.0,0.9,0.9,0.09999999999999998,0.0,results/metrics/test_mitigation_veto.json,classification_by_system.veto_mavs
test_mitigation_veto,Mitigation versus hard veto,pure_mavs_gc,Pure MAVS-GC,100,0.02,0.0,0.98,0.98,0.020000000000000018,0.0,results/metrics/test_mitigation_veto.json,classification_by_system.pure_mavs_gc
